carType,carPlate,region
Skoda Superb III FL,BL 58196,Podlaskie
BMW 330i,DOL 21696,Dolnośląskie
BMW 330i GT,BIA 22139,Podlaskie
BMW 330i,BL 58218,Podlaskie
BMW 330i,BI 7310Y,Podlaskie
BMW 340i,ZS 176LW,Zachodniopomorskie
BMW 330i,ZWA 61YM,Zachodniopomorskie
BMW 330i,RZ 179CE,Podkarpackie
Opel Insignia,RDE 12019,Podkarpackie
BMW 330i GT,BSI 4E38,Podlaskie
Skoda Octavia III,BIA 28075,Podlaskie
BMW 330i,BI 7125Y,Podlaskie
BMW 330i,ZKA 28462,Zachodniopomorskie
BMW 330i,ZKL 14256,Zachodniopomorskie
Opel Insignia,ZS 1647X,Zachodniopomorskie
BMW 330i,WU 4559P,Kujawsko-pomorskie
BMW 330i,WU 4558P,Dolnośląskie
BMW 330i,WU 3750P,Mazowieckie
BMW 330i,WU 4560P,Łódzkie
BMW 330i,WU 4562P,Małopolskie
Ford Focus III,WE 585CW,Śląskie
Volkswagen Passat B8,WU 8133F,Pomorskie
Peugeot 508,BI 7848S,Podlaskie
BMW 330i,WB 3620X,Lubelskie
BMW 330i,WU 4557P,Lubelskie
BMW 330i,TK 5601Y,Świętokrzyskie
BMW 330i,TSZ 43129,Świętokrzyskie
Opel Insignia,TK 7151T,Świętokrzyskie
BMW 330i,TK 9025S,Świętokrzyskie
BMW 330i GT,TSA 7001A,Świętokrzyskie
BMW 330i,TJE 36714,Świętokrzyskie
BMW 330i,TK 0576X,Świętokrzyskie
BMW 330i GT,TK 7076V,Świętokrzyskie
BMW 330i,TKI 2034A,Świętokrzyskie
BMW 330i,WX 4711A,Śląskie
BMW 330i,TSK 27413,Świętokrzyskie
BMW 330i,TK 7476T,Świętokrzyskie
Skoda Superb III FL,SY 8682K,Śląskie
Kia Stinger GT,SZA 91TN,Śląskie
Cupra Leon Sportstourer,SB 861AM,Śląskie
Kia Stinger GT,TKI 70057,Śląskie
BMW 330i,SK 596SM,Śląskie
Opel Astra V,WPL YY79,Śląskie
BMW 330i,PKA UR53,Śląskie
Opel Astra V,WK 60268,Śląskie
BMW 330i GT,WRA 08GE,Śląskie
Kia Stinger GT,BI 21847,Śląskie
BMW 330i,STA KM08,Śląskie
Opel Astra V,PO 2RC64,Śląskie
BMW 330i,DTR 76124,Śląskie
Kia Stinger GT,GD 1G583,Śląskie
Kia Stinger GT,SH 9301F,Śląskie
Kia Optima GT,SJZ 5PH1,Śląskie
BMW 330i,SC 6493N,Śląskie
Opel Astra V,SZY 5KH8,Śląskie
BMW 330i,SCI 6213E,Śląskie
Opel Astra V,WE 7L172,Śląskie
BMW 330i,PKA UN17,Wielkopolskie
BMW 330i,PZ 654VW,Wielkopolskie
BMW 330i,PO 8P493,Wielkopolskie
BMW 330i,PO 6RE26,Wielkopolskie
Skoda Octavia III RS,PO 4G924,Wielkopolskie
BMW 330i,PKN 1678C,Wielkopolskie
BMW 330i,PGN 381GP,Wielkopolskie
BMW 330i,PO 3FX73,Wielkopolskie
Ford Mondeo Mk4,DLB F992,Dolnośląskie
Opel Astra IV,DWR 82546,Dolnośląskie
Toyota Corolla,DWR 8157G,Dolnośląskie
Toyota Corolla,DMI 27032,Dolnośląskie
Opel Astra IV,DSW 87098,Dolnośląskie
BMW 330i,DPL 28158,Dolnośląskie
Ford Focus ST,DOA 66582,Dolnośląskie
BMW 330i,DB 3185H,Dolnośląskie
BMW 330i GT,DW 947GS,Dolnośląskie
BMW 330i,DW 731FU,Dolnośląskie
BMW 330i,DTR 76192,Dolnośląskie
BMW 330i GT,EL 5N427,Łódzkie
BMW 330i,EWI 59SP,Łódzkie
BMW 330i,ESI UE56,Łódzkie
BMW 330i,EWI 8L17,Łódzkie
BMW 330i,ELW 2P93,Łódzkie
BMW 330i,EL 6H056,Łódzkie
Opel Insignia,ES 04605,Łódzkie
Opel Insignia,CNA SL21,Kujawsko-pomorskie
BMW 330i,NNI 08436,Warmińsko-mazurskie
BMW 330i,NSZ 00338,Warmińsko-mazurskie
BMW 330i GT,NO 9479S,Warmińsko-mazurskie
BMW 330i,NE 1372C,Warmińsko-mazurskie
BMW 330i,NOS 25WY,Warmińsko-mazurskie
BMW 330i,NBR 25381,Warmińsko-mazurskie
BMW 330i,NO 5973R,Warmińsko-mazurskie
Skoda Superb III FL,WOR 75574,Mazowieckie
BMW 330i,GCH 84374,Pomorskie
BMW 330i GT,GD 083WY,Pomorskie
BMW 330i,GS 87341,Pomorskie
BMW 330i,GKA 17156,Pomorskie
BMW 330i,GD 742MT,Pomorskie
BMW E61,GD 094MT,Pomorskie
BMW 330i,GWE 0933F,Pomorskie
Mercedes-Benz E280,GD 169VF,Pomorskie
BMW 330i,ONY 01019,Opolskie
Opel Astra IV,OGL 73SS,Opolskie
BMW 330i,PNT 53102,Wielkopolskie
BMW 330i,OKL 45507,Opolskie
BMW 330i GT,CB 672GK,Kujawsko-pomorskie
BMW 330i,CW 05705,Kujawsko-pomorskie
BMW 330i,CB 1248S,Kujawsko-pomorskie
BMW 330i,CTU N013,Kujawsko-pomorskie
BMW 330i,CB 308GK,Kujawsko-pomorskie
BMW 330i,FSL 671AR,Lubuskie
Volkswagen Passat B7,FSU 31298,Lubuskie
BMW 330i,FZG 52163,Lubuskie
Volkswagen Passat B7,FG 6198K,Lubuskie
BMW 330i GT,FGW 7XM3,Lubuskie
BMW 330i,FZI 86314,Lubuskie
Volkswagen Passat B7,FWS 3N26,Lubuskie
BMW 330i,WI 579EX,Mazowieckie
BMW 330i GT,WW 1086J,Mazowieckie
Opel Insignia FL,WM 82943,Mazowieckie
Skoda Superb III FL,WW 958YG,Mazowieckie
BMW 330i GT,WY 2783L,Mazowieckie
BMW 330i GT,WM 2196H,Mazowieckie
BMW 330i,WR 8739W,Mazowieckie
BMW 330i,WS 41052,Mazowieckie
BMW 330i,WOS 60547,Mazowieckie
BMW 330i GT,WR 274AV,Mazowieckie
BMW 330i,WL 7165H,Mazowieckie
BMW 330i,WH 58792,Mazowieckie
BMW 330i,KNT 00398,Mazowieckie
BMW 330i GT,KCH GG97,Małopolskie
BMW 330i,KRA SK58,Małopolskie
BMW 330i,KR 5W751,Małopolskie
Opel Astra V,KBR 82S3,Małopolskie
BMW 330i GT,KR 8AA15,Małopolskie
BMW 330i,KWA 15763,Małopolskie
Cupra Leon,KR 9RL86,Małopolskie
Cupra Leon,KN 9682C,Małopolskie
BMW 330i,KBC 72548,Małopolskie
BMW 330i,KR 7W514,Małopolskie
BMW 330i,LKR 39418,Lubelskie
BMW 330i,LOP 46368,Lubelskie
BMW 330e,LU 613LV,Lubelskie
BMW 330i,LB 63469,Lubelskie
BMW 330i,LC 78691,Lubelskie
BMW 330i GT,LLU 72879,Lubelskie
BMW 330i GT,LU 851NT,Lubelskie
Opel Astra V,LRA 11248,Lubelskie
BMW 330i,LU 153RE,Lubelskie
BMW 330e,LZ 57638,Lubelskie
Opel Astra V,LLB 39634,Lubelskie
BMW 330i,LZ 56347,Lubelskie
Opel Astra V,LU 591FJ,Lubelskie
BMW 330i GT,RJA 97592,Podkarpackie
BMW 330i,RZ 3476W,Podkarpackie
Skoda Superb III FL,DLU 82796,Dolnośląskie
Opel Insignia,RZ 57535,Podkarpackie
BMW 330i,RP 74347,Podkarpackie
BMW 330i,DMI 27031,Dolnośląskie
Hyundai i30,DST F105,Dolnośląskie
Opel Astra IV,DDZ 16623,Dolnośląskie
BMW 320i,SK 113NX,Dolnośląskie
BMW 330i,DJ 96043,Dolnośląskie
BMW 330i,BKL 17522,Podlaskie
BMW 330i,BIA 22119,Podlaskie
BMW 330i,BBI FY24,Podlaskie
BMW 320i,BI 628CK,Podlaskie
Kia Ceed GT,SK 897MA,Śląskie
Peugeot Partner II,WE 203EC,Lubuskie
BMW 330i,WU 4551P,Lubuskie
Volkswagen Passat B8,WU 8134F,Mazowieckie
Ford Focus,WE 581CW,Wielkopolskie
Ford Mondeo Mk4,WE 577CW,Wielkopolskie
BMW 330i,TK 7026T,Świętokrzyskie
BMW 330i,ZMY 281AX,Zachodniopomorskie
BMW 330i,ES 51946,Łódzkie
BMW 330i GT,EL 5N394,Łódzkie
BMW 330i,DSR 32362,Śląskie
BMW 330i,LLU 59613,Lubelskie
BMW 330e,LU 219LV,Lubelskie
BMW 330i,WE 7G840,Śląskie
BMW 330i,PP 3657K,Wielkopolskie
BMW 330i,PKE 96N1,Wielkopolskie
BMW 330i,PSR 91J3,Wielkopolskie
Cupra Leon,PKE 1NA1,Wielkopolskie
Ford Focus,OPO JA25,Opolskie
BMW 330i,OK 94501,Opolskie
BMW 330i,ONY TY09,Opolskie
BMW 330i,OST 60RC,Opolskie
BMW 330i,OGL 34CH,Opolskie
BMW 330i GT,OP 2709L,Opolskie
BMW K1300GT,OPO 1AM1,Opolskie
BMW 330i,NKE RH24,Warmińsko-mazurskie
Kia Ceed,WT 96014,Mazowieckie
Opel Insignia,WL 28024,Mazowieckie
Skoda Superb III FL,WE 619SY,Mazowieckie
BMW 330i,WPI 12LC,Mazowieckie
BMW 330i,WK 48439,Mazowieckie
Opel Insignia,GDA FL94,Pomorskie
BMW 330i,GD 361MT,Pomorskie
BMW 330i,GCZ 19HU,Pomorskie
BMW 330i,GST 3H02,Pomorskie
BMW 330i,KOL LM59,Małopolskie
BMW 330i,BI 8697Y,Podlaskie
BMW 330i,BAU 6C09,Podlaskie
BMW 330i,RZ 0237A,Podkarpackie
BMW 330i,OKL 45509,Śląskie
BMW 330i,CBY 1AU9,Kujawsko-pomorskie
BMW 330i,TKI 2046A,Świętokrzyskie
BMW 330i,DOL 95102,Dolnośląskie
Kia Stinger GT,SY 4867K,Śląskie
Opel Astra V,ST 2734K,Śląskie
BMW M340i,SK 618SM,Śląskie
Kia Stinger GT,SZY 81935,Śląskie
BMW 330i,SMI 31712,Śląskie
Skoda Superb III,SK 381HX,Śląskie
BMW 330i,SBE 2CN9,Śląskie
BMW 330i,SH 2656C,Śląskie
Opel Astra V,LPA 19413,Lubelskie
Volkswagen Crafter,SK 3535P,Śląskie
Opel Astra V,SZ 7961L,Śląskie
BMW 330i,RMI 72348,Podkarpackie
BMW 330i,RZ 073CE,Podkarpackie
Opel Insignia,RJS 56YT,Podkarpackie
BMW 330i,RT 43691,Podkarpackie
BMW 330i,RZE XA41,Podkarpackie
BMW 330i,CT 3010P,Kujawsko-pomorskie
Opel Insignia,CT 23635,Kujawsko-pomorskie
Opel Insignia,CBY 12N7,Kujawsko-pomorskie
Opel Insignia,CRY G312,Kujawsko-pomorskie
Volkswagen Passat B8,WU 8135F,Mazowieckie
